person_id,name,character,role
3748,Robert De Niro,Travis Bickle,ACTOR
14658,Jodie Foster,Iris Steensma,ACTOR
7064,Albert Brooks,Tom,ACTOR
3739,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
48933,Cybill Shepherd,Betsy,ACTOR
32267,Peter Boyle,Wizard,ACTOR
519612,Leonard Harris,Senator Charles Palantine,ACTOR
29068,Diahnne Abbott,Concession Girl,ACTOR
519613,Gino Ardito,Policeman at Rally,ACTOR
3308,Martin Scorsese,Passenger Watching Silhouette,ACTOR
43791,Murray Moston,Iris' Time Keeper,ACTOR
519614,Richard Higgs,Secret Service Agent,ACTOR
519615,Bill Minkin,Tom's Assistant (uncredited),ACTOR
82426,Bob Maroff,Mafioso (uncredited),ACTOR
20935,Victor Argo,"Melio, Delicatessen Owner",ACTOR
7753,Joe Spinell,Personell Officer,ACTOR
43279,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR
519616,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR
8424,Norman Matlock,Charlie T,ACTOR
20447,Harry Northup,Doughboy,ACTOR
519618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR
49567,Steven Prince,Andy - Gun Salesman,ACTOR
15551,Peter Savage,The John,ACTOR
475303,Nicholas Shields,Palantine's Aide (uncredited),ACTOR
43540,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR
466061,Annie Gagen,Campaign Worker (uncredited),ACTOR
212023,Carson Grant,Political rallier (uncredited),ACTOR
5367,Mary-Pat Green,Campaign Aide (uncredited),ACTOR
17421,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR
38141,Don Stroud,Policeman (uncredited),ACTOR
811415,Copper Cunningham,Hooker in Cab,ACTOR
1141852,Garth Avery,Iris' friend,ACTOR
1662310,Nat Grant,Stick-aup Man,ACTOR
1393387,Billie Perkins,Iris' Friend (uncredited),ACTOR
9446,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR
9451,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR
3308,Martin Scorsese,,DIRECTOR
10103,Jon Voight,Ed Gentry,ACTOR
13020,Burt Reynolds,Lewis Medlock,ACTOR
6639,Ned Beatty,Bobby Trippe,ACTOR
11224,Ronny Cox,Drew Ballinger,ACTOR
24509,Ed Ramey,Old Man at the Gas-Station,ACTOR
80069,Billy Redden,Lonnie - The Banjo Boy,ACTOR
84032,Seamon Glass,First Griner,ACTOR
84031,Randall Deal,Second Griner,ACTOR
7918,Bill McKinney,Mountain Man,ACTOR
197405,Herbert 'Cowboy' Coward,Toothless Man,ACTOR
618692,Lewis Crone,First Deputy,ACTOR
618691,Ken Keener,Second Deputy,ACTOR
498130,Johnny Popwell,Ambulance Driver,ACTOR
618690,John Fowler,Doctor,ACTOR
217036,Kathy Rickman,Nurse,ACTOR
618689,Louise Coldren,Mrs. Biddiford,ACTOR
618688,Pete Ware,Taxi Driver,ACTOR
24510,James Dickey,Sheriff Bullard,ACTOR
53804,Macon McCalman,Deputy Queen,ACTOR
618687,Hoyt Pollard,Boy at Gas Station,ACTOR
37993,Belinda Beatty,Martha Gentry,ACTOR
100262,Charley Boorman,Ed's Boy,ACTOR
17727,John Boorman,,DIRECTOR
11472,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
1549,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
11474,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
11473,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
11475,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
11476,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
40898,Connie Booth,The Witch,ACTOR
11478,Carol Cleveland,Zoot / Dingo,ACTOR
11482,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
40899,Bee Duffell,Old Crone,ACTOR
11481,John Young,Dead Body / Historian Frank,ACTOR
40900,Rita Davies,Historian's Wife,ACTOR
40901,Avril Stewart,Dr. Piglet,ACTOR
40902,Sally Kinghorn,Dr. Winston,ACTOR
40903,Mark Zycon,Prisoner,ACTOR
1275018,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
1462970,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
589811,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
976111,Sandy Rose,Girl in Castle Anthrax,ACTOR
1462971,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
90024,Joni Flynn,Girl in Castle Anthrax,ACTOR
1462991,Alison Walker,Girl in Castle Anthrax,ACTOR
1462993,Loraine Ward,Girl in Castle Anthrax,ACTOR
1462994,Anna Lanski,Girl in Castle Anthrax,ACTOR
1462623,Sally Coombe,Girl in Castle Anthrax,ACTOR
1462995,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
1462975,Yvonne Dick,Girl in Castle Anthrax,ACTOR
1462978,Daphne Darling,Girl in Castle Anthrax,ACTOR
703435,Fiona Gordon,Girl in Castle Anthrax,ACTOR
1463011,Judy Lamb,Girl in Castle Anthrax,ACTOR
1462986,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
1462588,Joyce Pollner,Girl in Castle Anthrax,ACTOR
889417,Mary Allen,Girl in Castle Anthrax,ACTOR
1464056,Gloria Graham,Girl in Castle Anthrax,ACTOR
1671807,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
11490,Julian Doyle,Police Sergeant (uncredited),ACTOR
84047,Margarita Doyle,Peasant (uncredited),ACTOR
1463016,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
1463018,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
1463021,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
11475,Terry Jones,Themselves (uncredited),ACTOR
919694,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
400172,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
14908,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
8327,John Thornton,Dancing Knight (uncredited),ACTOR
156072,Maggie Weston,Page-turner (uncredited),ACTOR
11475,Terry Jones,,DIRECTOR
11473,Terry Gilliam,,DIRECTOR
35196,Lee Marvin,Maj. John Reisman,ACTOR
1050,Ernest Borgnine,Maj. Gen. Worden,ACTOR
16868,Charles Bronson,Joseph Wladislaw,ACTOR
14351,Jim Brown,Robert Jefferson,ACTOR
35197,John Cassavetes,Victor Franko,ACTOR
35200,Richard Jaeckel,Sergeant Bowren,ACTOR
1061,George Kennedy,Major Max Armbruster,ACTOR
35198,Trini López,Pedro Jiminez,ACTOR
21482,Ralph Meeker,Captain Stuart Kinder,ACTOR
24126,Robert Ryan,Col. Everett Dasher Breed,ACTOR
21838,Telly Savalas,Archer Maggott,ACTOR
1765,Donald Sutherland,Vernon Pinkley,ACTOR
35199,Clint Walker,Samson Posey,ACTOR
8044,Robert Webber,General Denton,ACTOR
35201,Tom Busby,Milo Vladek,ACTOR
35202,Ben Carruthers,Glenn Gilpin,ACTOR
35203,Stuart Cooper,Roscoe Lever,ACTOR
29814,Robert Phillips,Cpl. Morgan - MP Guard,ACTOR
35204,Colin Maitland,Seth Sawyer,ACTOR
15345,Al Mancini,Tassos Bravos,ACTOR
2095,George Roubicek,Pvt. Arthur James Gardner,ACTOR
32622,Thick Wilson,Gen. Worden's Aide,ACTOR
548877,Dora Reisser,German Officer's Girl,ACTOR
361026,Michael Anthony,German Officer in Staff Car (uncredited),ACTOR
35206,Leo Britt,German General in Staff Car (uncredited),ACTOR
35207,Alan Chuntz,French Servant (uncredited),ACTOR
35208,Gary Files,Ambulance Driver (uncredited),ACTOR
35209,Judith Furse,Drunken General's Wife (uncredited),ACTOR
35210,Hal Galili,MP Master Sergeant / Hangman (uncredited),ACTOR
35211,Romo Gorrara,Airborne Soldier (uncredited),ACTOR
11181,Willoughby Gray,German Officer (uncredited),ACTOR
35212,Gerard Heinz,Card-Playing German Officer (uncredited),ACTOR
21244,John G. Heller,2nd German Sentry at Chateau (uncredited),ACTOR
35213,George Hilsdon,Medical Officer at Hanging (uncredited),ACTOR
35214,John Hollis,German Porter at Chateau (uncredited),ACTOR
10097,Alf Joint,German Sentry Wanting Light (uncredited),ACTOR
35215,Juba Kennerley,German Officer (uncredited),ACTOR
35216,Hildegard Knef,(uncredited),ACTOR
35217,Ann Lancaster,Prostitute (uncredited),ACTOR
35218,Richard Marner,German Sentry at Chateau (uncredited),ACTOR
1062,Dick Miller,MP at Hanging (uncredited),ACTOR
22266,Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),ACTOR
35219,Suzanne Owens-Duval,Prostitute (uncredited),ACTOR
4500,Mike Reid,Sergeant at War Games HQ (uncredited),ACTOR
31806,Terry Richards,Blake (uncredited),ACTOR
35220,Frederick Schiller,Drunken German General (uncredited),ACTOR
35222,Richard Shaw,German Officer Who Seals the Bunker (uncredited),ACTOR
35223,Warren Stanhope,German Officer (uncredited),ACTOR
35224,Hedger Wallace,German Officer (uncredited),ACTOR
35225,Theodore Wilhelm,German Officer (uncredited),ACTOR
35226,Rocky Taylor,Airborne Soldier (uncredited),ACTOR
2105,Burnell Tucker,Army Doctor (uncredited),ACTOR
35227,Vicki Woolf,Prostitute (uncredited),ACTOR
744350,Michael Segal,Airborne Band Conductor (uncredited),ACTOR
1063,Robert Aldrich,,DIRECTOR
11472,Graham Chapman,Various,ACTOR
11476,Michael Palin,"Various / ""It's"" man",ACTOR
11475,Terry Jones,Various,ACTOR
11474,Eric Idle,Various,ACTOR
11473,Terry Gilliam,Various,ACTOR
11472,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
1549,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
11473,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
11474,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
11475,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
11476,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
11477,Terence Bayler,Gregory,ACTOR
11478,Carol Cleveland,Mrs. Gregory,ACTOR
11479,Kenneth Colley,Jesus,ACTOR
11482,Neil Innes,A Weedy Samaritan,ACTOR
11480,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,Gwen Taylor,Mrs. Big Nose,ACTOR
11484,Sue Jones-Davies,Judith Iscariot,ACTOR
548006,Peter Brett,,ACTOR
11485,John Case,Pilate's Wife,ACTOR
11489,Chris Langham,Alfonso / Giggling Guard,ACTOR
11487,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,Spike Milligan,Spike,ACTOR
11488,George Harrison,Mr. Papadopolous (uncredited),ACTOR
11475,Terry Jones,,DIRECTOR
6050,Clint Eastwood,Harry,ACTOR
74499,Harry Guardino,Bressler,ACTOR
24045,Reni Santoni,Chico,ACTOR
29250,John Vernon,The Mayor,ACTOR
29225,Andrew Robinson,Killer,ACTOR
63141,John Larch,Chief,ACTOR
28420,John Mitchum,De Georgio,ACTOR
83026,Mae Mercer,Mrs. Russell,ACTOR
83027,Lyn Edgington,Norma,ACTOR
83028,Ruth Kobart,Bus Driver,ACTOR
29253,Woodrow Parfrey,Mr. Jaffe,ACTOR
7250,Josef Sommer,Rothko,ACTOR
83029,William Paterson,Bannerman,ACTOR
44085,James Nolan,Liquor Proprietor,ACTOR
28418,Maurice Argent,Sid Kleinman,ACTOR
83030,Jo De Winter,Miss Willis,ACTOR
642080,Craig Kelly,Sgt. Reineke,ACTOR
24203,Albert Popwell,Bank Robber (uncredited),ACTOR
83031,Joy Carlin,Communications Secretary (uncredited),ACTOR
83032,Bill Couch,Suicide Jumper (uncredited),ACTOR
83033,Diana Davidson,Swimmer (uncredited),ACTOR
6848,Vince Deadrick Sr.,Pedestrian (uncredited),ACTOR
83034,Chuck Dorsett,TV Watcher (uncredited),ACTOR
83035,Al Dunlap,Man in Jaffe's Cafe (uncredited),ACTOR
83036,Larry Duran,(uncredited),ACTOR
63147,George Fargo,Homicide Detective (uncredited),ACTOR
83037,Lois Foraker,Hot Mary (uncredited),ACTOR
