id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],1.0
tm84618,Taxi Driver,MOVIE,1976,R,114,"['drama', 'crime']",['US'],
tm154986,Deliverance,MOVIE,1972,R,109,"['drama', 'action', 'thriller', 'european']",['US'],
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'action', 'comedy']",['GB'],
tm120801,The Dirty Dozen,MOVIE,1967,,150,"['war', 'action']","['GB', 'US']",
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'action', 'crime']",['US'],
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['crime', 'drama', 'action']",['US'],
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'action', 'drama']",['US'],
tm44204,The Guns of Navarone,MOVIE,1961,,158,"['action', 'drama', 'war']","['GB', 'US']",
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],
tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy']",['US'],
tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['history', 'documentation', 'european']",['DE'],
tm156453,FTA,MOVIE,1972,R,97,"['war', 'documentation', 'music', 'comedy']",['US'],
tm14350,Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],
tm81728,The Land,MOVIE,1969,,129,['drama'],['EG'],
tm94651,Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],
tm27298,Saladin the Victorious,MOVIE,1963,,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",
tm19608,The Blazing Sun,MOVIE,1954,,100,"['crime', 'romance', 'drama']",['EG'],
tm204541,Dark Waters,MOVIE,1956,,120,"['action', 'drama', 'romance', 'thriller']",['EG'],
tm259855,We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['LB', 'CA', 'FR']",
tm356209,Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],
tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,"['music', 'drama', 'crime']","['DZ', 'EG']",
tm336403,Khoon Khoon,MOVIE,1973,,131,"['crime', 'thriller']",['IN'],
tm107372,Manoranjan,MOVIE,1974,,162,"['romance', 'drama', 'comedy']",['IN'],
tm358653,Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],
tm259684,Whispers,MOVIE,1980,,93,['documentation'],"['CA', 'FR', 'LB']",
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],
tm16812,Bandie,MOVIE,1978,,141,"['drama', 'action', 'romance']",['IN'],
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9.0
tm155787,GoodFellas,MOVIE,1990,R,145,"['drama', 'crime']",['US'],
tm22327,Full Metal Jacket,MOVIE,1987,R,117,"['war', 'drama']","['US', 'GB']",
tm180542,Once Upon a Time in America,MOVIE,1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['comedy', 'romance', 'drama']",['US'],
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],"['GB', 'US']",
tm133087,Steel Magnolias,MOVIE,1989,PG,119,"['comedy', 'drama', 'romance']",['US'],
tm177480,Police Academy,MOVIE,1984,R,97,"['crime', 'comedy']",['US'],
tm54450,Christine,MOVIE,1983,R,110,"['horror', 'thriller', 'european']",['US'],
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24.0
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39.0
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,PG-13,97,"['comedy', 'european']",['US'],
tm142895,Lean On Me,MOVIE,1989,PG-13,105,['drama'],['US'],
tm20712,Eddie Murphy Raw,MOVIE,1987,R,90,"['comedy', 'documentation']",['US'],
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['romance', 'comedy']",['US'],
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0
tm130586,Endless Love,MOVIE,1981,R,116,"['romance', 'drama']",['US'],
ts987,Danger Mouse,SHOW,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0
tm721687,Vaashi,MOVIE,1983,,123,"['drama', 'thriller']",['IN'],
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13.0
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],
tm126769,Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],
