id,title,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,,,0.6,
tm84618,Taxi Driver,8.2,808582.0,40.965,8.179
tm154986,Deliverance,7.7,107673.0,10.01,7.3
tm127384,Monty Python and the Holy Grail,8.2,534486.0,15.461,7.811
tm120801,The Dirty Dozen,7.7,72662.0,20.398,7.6
ts22164,Monty Python's Flying Circus,8.8,73424.0,17.617,8.306
tm70993,Life of Brian,8.0,395024.0,17.77,7.8
tm14873,Dirty Harry,7.7,155051.0,12.817,7.5
tm119281,Bonnie and Clyde,7.7,112048.0,15.687,7.5
tm98978,The Blue Lagoon,5.8,69844.0,50.324,6.156
tm44204,The Guns of Navarone,7.5,50748.0,13.844,7.3
tm67378,The Professionals,7.3,16446.0,13.123,7.1
tm69997,Richard Pryor: Live in Concert,8.1,5141.0,4.718,7.5
tm16479,White Christmas,7.5,42488.0,8.915,7.2
tm135083,Cairo Station,7.5,4471.0,5.546,7.3
tm89386,Hitler: A Career,7.5,2460.0,4.305,7.3
tm156453,FTA,6.2,418.0,1.268,6.1
tm14350,Alexandria… Why?,7.2,1727.0,1.37,6.0
tm81728,The Land,8.1,1958.0,1.265,8.5
tm94651,Dostana,2.1,25.0,3.98,4.9
tm27298,Saladin the Victorious,7.6,2508.0,4.156,7.1
tm100027,Alibaba Aur 40 Chor,6.2,565.0,2.582,6.8
tm19608,The Blazing Sun,7.4,1219.0,2.184,7.0
tm204541,Dark Waters,6.7,610.0,849,5.9
tm259855,We Are All for the Fatherland,6.1,47.0,0.6,5.2
tm356209,Singapore,6.4,84.0,792,6.3
ts45948,Monty Python's Fliegender Zirkus,8.1,2151.0,1.487,7.0
tm200475,"Beirut, Oh Beirut",6.4,108.0,1.025,7.2
tm90896,The Return of the Prodigal Son,7.2,780.0,1.858,5.3
tm336403,Khoon Khoon,5.1,41.0,1.948,3.8
tm107372,Manoranjan,6.5,237.0,1.532,5.3
tm358653,Ujala,6.6,78.0,0.84,6.0
tm259684,Whispers,7.8,78.0,0.6,5.0
tm403346,Chadi Jawani Budhe Nu,4.6,14.0,0.62,6.0
tm16812,Bandie,4.4,35.0,1.166,6.0
ts20681,Seinfeld,8.9,308824.0,130.213,8.301
tm155787,GoodFellas,8.7,1131681.0,50.387,8.463
tm22327,Full Metal Jacket,8.3,729274.0,32.937,8.1
tm180542,Once Upon a Time in America,8.3,345714.0,28.937,8.453
